"q0.025","median","q0.975","observed","fit","cov_nonoise","cov_nonoise_is","cov_nonoise_oos","cov_noise","cov_noise_is","cov_noise_oos","aggr_in_ci"
926.298910350428,973.160190837349,1027.63604950215,973.881848546301,974.789747398642,0.764,0.795,0.64,0.984,0.99,0.96,1
461.662375426654,503.964405477355,549.598349807282,507.012499253119,502.189979312663,0.824,0.835,0.78,0.992,1,0.96,1
351.985555517591,397.368003921295,441.853469031988,391.368467628203,400.971882631161,0.856,0.865,0.82,0.988,0.99,0.98,1
637.651280991261,692.87523471086,742.324028054795,702.270877624691,690.347019292183,0.824,0.845,0.74,0.988,0.99,0.98,1
318.200251571408,369.399691602235,420.715649998314,366.102411179337,372.870453089435,0.792,0.78,0.84,0.992,0.99,1,1
864.318884643728,914.178406754666,964.28772776829,897.578094337591,912.180667428582,0.736,0.77,0.6,0.972,0.985,0.92,1
632.997136317572,682.907081292393,731.808774703222,680.993867076373,682.84270763048,0.836,0.85,0.78,0.988,0.995,0.96,1
426.324626936434,467.60232758137,514.247076409075,474.270029107392,471.699998025916,0.788,0.825,0.64,0.964,0.985,0.88,1
510.330179033329,561.208542621144,608.781372130678,560.378389565708,560.04928530753,0.796,0.805,0.76,1,1,1,1
168.518445641311,229.545101823501,285.778824763373,248.581958202394,229.36178372681,0.724,0.72,0.74,1,1,1,1
641.913960534639,693.544440433528,746.932106864862,678.603252195447,691.385183827388,0.78,0.775,0.8,0.984,0.995,0.94,1
852.078106733631,890.773527080531,928.204242442405,881.317059375474,890.111612966487,0.852,0.895,0.68,0.992,1,0.96,1
702.581793700595,756.800863107502,810.831083095214,750.516563907608,757.319766978085,0.608,0.635,0.5,0.964,0.965,0.96,1
34.0689955921417,74.9146841677296,114.730621738633,70.11960916108,74.2556896273359,0.848,0.88,0.72,0.996,1,0.98,1
773.67377126815,825.990111906943,874.895416633564,814.338702006351,830.783449627549,0.712,0.73,0.64,0.98,0.985,0.96,1
579.413517036851,628.508760016255,675.347283723519,640.687496123172,629.475176535064,0.816,0.83,0.76,0.988,1,0.94,1
-281.69183912558,-232.569284801317,-182.361059357846,-230.093541821391,-230.994360420747,0.824,0.83,0.8,0.992,0.99,1,1
72.343135717127,123.825639634325,172.150075579885,128.70007018385,124.201680454341,0.78,0.78,0.78,0.988,0.995,0.96,1
105.217001449343,151.799338845295,196.302171634799,148.324582705244,150.16615006202,0.728,0.755,0.62,0.984,0.99,0.96,1
891.078896093044,939.156741100947,988.698010494058,924.596903966472,940.400996435666,0.76,0.795,0.62,0.984,0.995,0.94,1
353.117461649045,398.718694184121,448.300971319619,405.593467879389,396.823900019653,0.728,0.76,0.6,0.944,0.985,0.78,1
545.964049836302,597.342937677028,647.203011589161,598.202420527665,590.473976522721,0.796,0.8,0.78,0.984,0.995,0.94,1
465.372155351305,514.537740377773,558.871834077994,513.6256709459,516.865222807924,0.828,0.845,0.76,0.98,1,0.9,1
612.163791057094,659.069532943738,705.764992671685,658.759217824799,659.872024465778,0.756,0.775,0.68,0.98,0.995,0.92,1
316.268445753782,361.338312642475,406.329201642093,364.540148057948,359.944947779549,0.844,0.845,0.84,0.992,1,0.96,1
